auction_id,product_id,item,desc,retail,price,finalprice,bidincrement,bidfee,winner,placedbids,freebids,endtime_str,flg_click_only,flg_beginnerauction,flg_fixedprice,flg_endprice,id,N,cnt_uniq,cnt_n_2,P
86827,10009602,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,13.35,13.35,0.15,0.75,Racer11,26,0,19:52 PDT 09-16-2008,0,0,0,0,0,89,69,1,0.0144927536231884
88638,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,19.65,19.65,0.15,0.75,Mokkis,10,0,22:02 PDT 08-23-2008,0,0,0,0,0,131,69,1,0.0144927536231884
88639,10006115,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,47.1,47.1,0.15,0.75,Superloeffel,80,0,14:23 PDT 08-24-2008,0,0,0,0,0,314,69,1,0.0144927536231884
88693,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,55.2,55.2,0.15,0.75,Danydemir80,0,13,22:44 PDT 08-22-2008,0,0,0,0,0,368,69,1,0.0144927536231884
88694,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,86.1,86.1,0.15,0.75,Destination8,57,0,07:10 PDT 08-24-2008,0,0,0,0,0,574,69,1,0.0144927536231884
90526,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,48.6,48.6,0.15,0.75,Wadenbeisser,26,0,00:06 PDT 09-02-2008,0,0,0,0,0,324,69,1,0.0144927536231884
90527,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,113.1,113.1,0.15,0.75,Vonluxburg,286,0,02:27 PDT 09-04-2008,0,0,0,0,0,754,69,1,0.0144927536231884
92708,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,75.15,75.15,0.15,0.75,pauli55,179,0,15:12 PDT 08-25-2008,0,0,0,0,0,501,69,1,0.0144927536231884
92709,10009642,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,35.1,35.1,0.15,0.75,Voovoo3,7,0,22:33 PDT 09-05-2008,0,0,0,0,0,234,69,1,0.0144927536231884
92723,10009602,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,19.2,19.2,0.15,0.75,barrakuda,49,0,18:35 PDT 09-20-2008,0,0,0,0,0,128,69,2,0.0289855072463768
92818,10008975,sony-ericsson-s500i-unlocked-mysterious-,Sony Ericsson S500i Unlocked Mysterious Green,499.99,36.6,36.6,0.15,0.75,nlkt681,84,0,13:47 PDT 09-01-2008,0,0,0,0,0,244,69,1,0.0144927536231884
